trial_id,score,config_json
0,0.2340517592656179,"{""pop_size"": 47, ""offspring_ratio"": 0, ""selection"": ""random"", ""use_external_archive"": false, ""initializer"": ""halton"", ""crossover"": ""fuzzy"", ""crossover_prob"": 0.6185801650879991, ""mutation"": ""uniform_reset"", ""mutation_prob_factor"": 1.4604193577839035, ""mutation_eta"": 9.271338219567259, ""repair"": ""random"", ""fuzzy_d"": 0.7135066533871786}"
1,0.22146803130778514,"{""pop_size"": 74, ""offspring_ratio"": 1.0, ""selection"": ""random"", ""use_external_archive"": false, ""initializer"": ""random"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.8718080216584493, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.9779851908311286, ""mutation_eta"": 16.79509848855453, ""repair"": ""random"", ""wa_alpha"": 0.4544460131823206, ""nonuniform_perturbation"": 0.30822531159488575}"
2,0.22382103300985545,"{""pop_size"": 48, ""offspring_ratio"": 0, ""selection"": ""boltzmann"", ""use_external_archive"": true, ""initializer"": ""sobol"", ""crossover"": ""undx"", ""crossover_prob"": 0.8423438326208557, ""mutation"": ""gaussian"", ""mutation_prob_factor"": 1.8121413295672095, ""mutation_eta"": 27.629431452266164, ""repair"": ""random"", ""archive_unbounded"": false, ""archive_prune_policy"": ""mc_hv"", ""undx_zeta"": 0.6245040808894862, ""undx_eta"": 0.7643784151229391, ""gaussian_sigma"": 0.29188687366891536}"
3,0.09911400221058977,"{""pop_size"": 71, ""offspring_ratio"": 0.25, ""selection"": ""boltzmann"", ""use_external_archive"": true, ""initializer"": ""sobol"", ""crossover"": ""laplace"", ""crossover_prob"": 0.7815624269181521, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.05140499662487, ""mutation_eta"": 23.28479968413687, ""repair"": ""random"", ""archive_unbounded"": true, ""laplace_a"": 0.27646686134649734, ""laplace_b"": 1.0327253574976323, ""nonuniform_perturbation"": 0.2666819167043933}"
4,0.004830402178587127,"{""pop_size"": 108, ""offspring_ratio"": 0.75, ""selection"": ""ranking"", ""use_external_archive"": true, ""initializer"": ""obl"", ""crossover"": ""blx_alpha_beta"", ""crossover_prob"": 0.8141799003132757, ""mutation"": ""power_law"", ""mutation_prob_factor"": 1.6926519641129638, ""mutation_eta"": 17.37208873900332, ""repair"": ""random"", ""archive_unbounded"": false, ""archive_prune_policy"": ""ref_dirs"", ""blxab_alpha"": 0.014744516803373908, ""blxab_beta"": 0.520652041976978, ""power_index"": 2.7917608387040667}"
5,0.24174251266070296,"{""pop_size"": 75, ""offspring_ratio"": 0.75, ""selection"": ""tournament"", ""use_external_archive"": true, ""initializer"": ""scatter"", ""crossover"": ""undx"", ""crossover_prob"": 0.769231913776217, ""mutation"": ""power_law"", ""mutation_prob_factor"": 1.9869397614661193, ""mutation_eta"": 33.40562329011841, ""repair"": ""wrap"", ""archive_unbounded"": false, ""archive_prune_policy"": ""knn"", ""selection_size"": 5, ""undx_zeta"": 0.778233361686944, ""undx_eta"": 0.6972929642534695, ""power_index"": 3.533723643951386, ""scatter_base_size_factor"": 1.0}"
6,0.13382200553654874,"{""pop_size"": 81, ""offspring_ratio"": 0, ""selection"": ""sus"", ""use_external_archive"": true, ""initializer"": ""halton"", ""crossover"": ""laplace"", ""crossover_prob"": 0.8144846767644093, ""mutation"": ""polynomial"", ""mutation_prob_factor"": 1.6176404440516323, ""mutation_eta"": 24.46817054874455, ""repair"": ""wrap"", ""archive_unbounded"": true, ""laplace_a"": -0.3529971634924639, ""laplace_b"": 0.8196470706436624}"
7,0.0,"{""pop_size"": 60, ""offspring_ratio"": 0.75, ""selection"": ""boltzmann"", ""use_external_archive"": true, ""initializer"": ""obl"", ""crossover"": ""whole_arithmetic"", ""crossover_prob"": 0.7705456750507663, ""mutation"": ""linked_polynomial"", ""mutation_prob_factor"": 2.0704291370335905, ""mutation_eta"": 17.50847329491207, ""repair"": ""round"", ""archive_unbounded"": false, ""archive_prune_policy"": ""mc_hv"", ""wa_alpha"": 0.4747775934606592}"
8,0.23575870060128462,"{""pop_size"": 41, ""offspring_ratio"": 1.0, ""selection"": ""boltzmann"", ""use_external_archive"": false, ""initializer"": ""obl"", ""crossover"": ""sbx"", ""crossover_prob"": 0.8437687377415201, ""mutation"": ""gaussian"", ""mutation_prob_factor"": 1.527447412843387, ""mutation_eta"": 20.293703717529574, ""repair"": ""clip"", ""crossover_eta"": 12.690699089354409, ""gaussian_sigma"": 0.28662307779656176}"
9,0.2461937045005098,"{""pop_size"": 69, ""offspring_ratio"": 0.5, ""selection"": ""tournament"", ""use_external_archive"": true, ""initializer"": ""halton"", ""crossover"": ""blx_alpha_beta"", ""crossover_prob"": 0.8059760466630216, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.0053907540665987, ""mutation_eta"": 13.626186798003678, ""repair"": ""clip"", ""archive_unbounded"": false, ""archive_prune_policy"": ""hv"", ""selection_size"": 6, ""blxab_alpha"": 0.534016088686714, ""blxab_beta"": 0.45375988397548195, ""nonuniform_perturbation"": 0.2346240304371746}"
